Week,Lord of the Rings: (United States),Star Wars: Episode III – Revenge of the Sith: (United States)
2015-01-04,19,3
2015-01-11,15,3
2015-01-18,15,3
2015-01-25,12,2
2015-02-01,10,2
2015-02-08,12,2
2015-02-15,10,3
2015-02-22,10,3
2015-03-01,10,3
2015-03-08,10,3
2015-03-15,10,3
2015-03-22,10,2
2015-03-29,11,2
2015-04-05,11,3
2015-04-12,9,7
2015-04-19,9,7
2015-04-26,8,4
2015-05-03,9,8
2015-05-10,10,4
2015-05-17,8,4
2015-05-24,9,4
2015-05-31,9,3
2015-06-07,13,4
2015-06-14,12,4
2015-06-21,9,4
2015-06-28,9,3
2015-07-05,8,4
2015-07-12,10,4
2015-07-19,10,3
2015-07-26,9,3
2015-08-02,8,3
2015-08-09,11,4
2015-08-16,9,4
2015-08-23,11,4
2015-08-30,10,5
2015-09-06,9,5
2015-09-13,8,4
2015-09-20,8,4
2015-09-27,8,4
2015-10-04,8,5
2015-10-11,8,5
2015-10-18,10,15
2015-10-25,9,10
2015-11-01,8,9
2015-11-08,8,10
2015-11-15,10,10
2015-11-22,10,16
2015-11-29,9,15
2015-12-06,11,22
2015-12-13,10,78
2015-12-20,11,100
2015-12-27,14,68
2016-01-03,10,32
2016-01-10,9,18
2016-01-17,9,15
2016-01-24,9,10
2016-01-31,9,8
2016-02-07,9,7
2016-02-14,8,7
2016-02-21,7,5
2016-02-28,7,5
2016-03-06,10,5
2016-03-13,9,5
2016-03-20,7,5
2016-03-27,8,6
2016-04-03,7,9
2016-04-10,8,8
2016-04-17,8,6
2016-04-24,8,5
2016-05-01,8,8
2016-05-08,7,5
2016-05-15,7,4
2016-05-22,8,4
2016-05-29,7,4
2016-06-05,9,3
2016-06-12,7,3
2016-06-19,8,4
2016-06-26,7,3
2016-07-03,8,3
2016-07-10,7,3
2016-07-17,7,3
2016-07-24,8,3
2016-07-31,9,3
2016-08-07,7,3
2016-08-14,7,3
2016-08-21,8,2
2016-08-28,7,3
2016-09-04,8,3
2016-09-11,7,3
2016-09-18,7,6
2016-09-25,7,8
2016-10-02,7,4
2016-10-09,7,4
2016-10-16,7,4
2016-10-23,8,4
2016-10-30,7,5
2016-11-06,7,3
2016-11-13,7,4
2016-11-20,9,7
2016-11-27,7,6
